Category,Questions,Yes Type,No Type
24 Hours Symptoms,Does your low back pain wake you up at night?,"Yes, my low back pain wakes me up occasionally.","No, my low back pain does not wake me up at night."
24 Hours Symptoms,Does your pain get better or worse throughout the day?,"It depends - sometimes it gets better, sometimes it gets worse",It gets worse with activity and better with rest.
24 Hours Symptoms,Do you experience more pain in the morning or evening?,It's worse in the evening,It depends
24 Hours Symptoms,Does your pain interfere with your ability to perform your daily activities or exercise?,I am unable to perform my usual daily activities and exercise because of my pain,I have had to limit my physical activities because of my pain.
24 Hours Symptoms,Have you noticed any patterns or triggers that seem to make your pain worse?,"Yes, certain activities or positions seem to make my pain worse","Yes, certain stressors seem to make my pain worse"
24 Hours Symptoms,How many hours of sleep do you get each night?,I usually get around 5-6 hours of sleep each night,I try to get 8 hours of sleep each night.
24 Hours Symptoms,Do you have trouble falling asleep or staying asleep?,Sometimes I have trouble falling asleep or staying asleep,"No, I usually sleep well."
24 Hours Symptoms,Do you experience any pain or discomfort while sleeping?,"Yes, I experience some pain or discomfort while sleeping",I don't usually experience pain or discomfort while sleeping.
Activities of Daily Living,Have you noticed any changes in your posture or alignment?,"""I have noticed that my posture has become more slumped and rounded, which has caused me to feel self-conscious and embarrassed.""",I'm not sure if I have noticed any changes in my posture or alignment.
Activities of Daily Living,"Are you able to perform your daily activities, such as walking, standing, or lifting objects, without pain?","My ability to perform daily activities is greatly restricted by my lower back pain.
 Walking, standing, and lifting are all activities that exacerbate my lower back pain.","Yes, I can perform my daily activities, but only if I take frequent breaks and rest periods to manage the pain."
Activities of Daily Living,"Do you have any difficulty with daily activities such as bending, sitting, or standing?","Yes, all of these activities are challenging for me, but sitting is the most painful due to the pressure it puts on my lower back.","I have difficulty with bending, but not with sitting or standing"
Activities of Daily Living,Are you able to Drive for short or long periods without discomfort?,"No, driving for any length of time causes significant discomfort and pain in my lower back.","Yes, I can drive, but only with the assistance of a mobility aid like a cushion or back brace to support my lower back."
Activities of Daily Living,Are you able to stand or sit for long periods without discomfort?,"No, I am unable to sit or stand for long periods without discomfort. After about 20 minutes, my lower back starts to ache and become very uncomfortable.","Yes, I can stand or sit for long periods without discomfort"
Activities of Daily Living,"Have you noticed any changes in your ability to bend, twist, or reach overhead?","I have noticed that I am much more cautious in my movements now. I am afraid of causing more pain, so I am very careful not to overdo it when bending, twisting, or reaching overhead.","I used to be able to reach overhead with no problem, but now it's very painful to do so. Even reaching for something on a high shelf is a challenge"
Activities of Daily Living,Are you able to lift objects without pain or discomfort?,"No, I am not able to lift objects without pain or discomfort. Even lifting something light like a grocery bag can cause a lot of pain in my lower back.",I can lift heavier objects with some discomfort.
Aggravating and Easing Factors,Have you noticed any patterns or triggers that seem to worsen your low back pain?,"Yes, sitting for extended periods of time seems to worsen my lower back pain.","Repetitive movements, such as those involved in certain types of work, seem to trigger my lower back pain."
Aggravating and Easing Factors,What makes the pain worse?,Sitting for long periods of time can exacerbate the pain in my lower back.,Certain activities or positions
Aggravating and Easing Factors,What makes the pain better?,Medication,Resting and taking a break from physical activity can help alleviate the pain in my lower back.
Aggravating and Easing Factors,Do you have any physical activities or movements that cause pain?,Bending over or picking up objects from the ground can cause pain in my lower back.,"Doing activities that require me to lift my arms over my head, such as painting or hanging curtains, can cause pain and discomfort in my lower back and shoulders."
Aggravating and Easing Factors,Are you able to comfortably perform activities such as sitting for extended periods of time?,"I can sit for short periods of time without much discomfort, but after an hour or so, the pain becomes more noticeable","I can sit for extended periods of time, but I need to take breaks and move around"
Current Treatment,"Are you currently undergoing any other treatments for your low back pain, such as medications or injections?","Yes, I am using topical pain relief creams or patches to help alleviate the pain in my lower back","No, I am not currently undergoing any treatments for my low back pain"
Duration,How long do you have this problem?,"I am not sure exactly when the pain started, but it has been bothering me for some time.",I've had this problem for a few months.
Duration,How long have you been experiencing low back pain?,I have had low back pain off and on since a pregnancy or childbirth.,I have had low back pain for over a year.
Family History,Does anyone in your family have a history of low back pain or spinal conditions?,"No, no one in my immediate family has a history of low back pain.","Yes, my grandmother has a history of low back pain"
Family History,"Has anyone in your family been diagnosed with conditions such as arthritis, osteoporosis, or scoliosis?",I am not sure if anyone in my family has been diagnosed with any of these conditions.,I am not aware of any family history of these conditions.
Family History,"Do you have a family history of any other relevant medical conditions, such as diabetes, heart disease, or high blood pressure?","Yes, my mother/father has diabetes.","Yes, I have a family history of high blood pressure."
Investigation,"Have you had any imaging studies such as an X-ray, MRI, or CT scan for your low back pain?","Yes, I have had all three types of imaging studies.My imaging study was reviewed by a specialist or second opinion, and the interpretation or diagnosis was different from my original doctor's interpretation.","No, I haven't had any imaging studies yet for my low back pain."
Investigation,Have you had any blood tests done for your low back pain?,I was not aware that blood tests were an option for my condition.,I have concerns about the cost of blood tests.
,,,
Physical Activity,Do you have any physical limitations or restrictions?,"Yes, I have difficulty bending down to tie my shoes or pick up items from the ground.","am unable to participate in some social activities, such as dancing or going out to certain venues that require standing or walking for long periods"
Physical Activity,Have you had any recent changes in your weight or physical activity level?,"Yes, I have gained weight recently due to being less active and unable to exercise as much because of my back pain.","No, but I have been trying to lose weight and have been adjusting my diet and exercise routine accordingly."
Physical Activity,"Have you noticed any changes in your ability to perform physical activities, such as exercise or sports?","Yes, I have noticed a significant decrease in my ability to perform physical activities due to my back pain.","No, I haven't noticed any changes in my physical abilities."
Previous History,Have you had low back pain before?,"Yes, I have experienced low back pain in the past.","No, this is the first time I have experienced low back pain."
Previous History,"Have you been diagnosed with any spinal conditions, such as a herniated disc or spinal stenosis?","I have been diagnosed with a spinal condition, but I am not currently experiencing symptoms related to that condition.","No, I have not been diagnosed with any spinal conditions."
Previous History,Do you have a history of any previous low back injuries or conditions?,"I have a history of low back pain, but it was not related to a specific injury or condition.","No, I do not have a history of previous low back injuries or conditions."
Previous History,Do you have a history of any physical or sports-related injuries?,"I have a history of physical or sports-related injuries, but they were not related to my low back pain.","No, I do not have a history of physical or sports-related injuries that have caused low back pain."
Previous History,Have you had any previous episodes of low back pain?,"Yes, I have had previous episodes of low back pain that have been mild and short-lived.","No, I have not had previous episodes of low back pain before this current episode."
Previous History,Have you had any other physical or musculoskeletal conditions in the past?,"Yes, I have had other physical conditions in the past, such as a heart condition or respiratory condition, but they were unrelated to my current low back pain","No, I have not had any other physical or musculoskeletal conditions in the past that are relevant to my current low back pain."
Previous Treatment,"Have you sought treatment for your low back pain before, and if so, how long ago was that and what was the outcome?","Yes, I have sought treatment for my low back pain before, and it was about six months ago. The outcome was that the pain improved with physical therapy and medication, but it has since returned.","No, I have not sought treatment for my low back pain before, as it is a recent onset of symptoms and I wanted to see if it would improve on its own."
Previous Treatment,Have you tried any treatments for your low back pain?,I have tried massage therapy.,"No, I have not had any surgeries for my low back pain."
Previous Treatment,Have you had any previous surgeries or treatments for your low back pain?,"Yes, I have had massage therapy for my low back pain.","No, I have not had any surgeries for my low back pain."
Previous Treatment,Have you been previously treated for low back pain and did it help?,"Yes, I have been previously treated for low back pain and it helped to some extent.","""I have not had any previous treatment, but I am open to trying different options."""
Previous Treatment,Have you had any previous surgeries or invasive procedures related to your back?,"Yes, I have had a spinal injection","No, I've never had any surgeries or invasive procedures related to my back."
Previous Treatment,Have you had any surgeries or procedures related to your low back or spine?,"Yes, I had a spinal decompression surgery on my lower back about 4 years ago.","No, I have not had any surgeries or procedures related to my low back or spine."
Psychological,"Are you experiencing any changes in your mood, such as increased stress or depression?","Yes, I've been feeling more stressed lately because of the constant pain in my back.","No, I'm not experiencing any changes in my mood."
Psychological,Have you had any recent changes in your stress levels or mood?,"Yes, I've been feeling more stressed lately because the pain in my back has been getting worse.","No, my stress levels and mood have been fairly consistent."
Quality of life,How has your low back pain impacted your quality of life?,"The pain has made it difficult for me to do everyday activities, like walking or sitting for extended periods of time.",It has caused me to be less active and exercise less.
Red Flags,Have you noticed any changes in your bowel or bladder function?,"Yes, I have noticed that I'm experiencing more frequent or urgent urination, which has been concerning.","Yes, I have noticed that I'm having difficulty controlling my bladder or bowel movements."
Red Flags,Have you noticed any changes in your gait or walking pattern?,"Yes, I have noticed that I'm walking more slowly than usual, as it is painful to move faster.","""No, I have not experienced any numbness or tingling in my legs or feet."""
Red Flags,Have you experienced any sudden or severe pain in your low back?,"Yes, I have experienced low back pain that has been so severe that I have been unable to walk.","""No, I have not experienced any sudden or severe pain in my low back."""
Red Flags,Have you lost control of your bladder or bowels?,"Yes, I have experienced some difficulty controlling my bladder or bowels.","No, I have not lost control of my bladder or bowels."
Red Flags,Have you experienced any numbness or tingling in your legs or feet?,"Yes, I have experienced occasional numbness and tingling in my legs or feet.","""No, I have not experienced any numbness or tingling in my legs or feet."""
Red Flags,"Have you had any recent trauma, such as a fall or car accident?","Yes, I recently had a slip and fall accident on ice or snow that may have contributed to my low back pain.","No, I haven't had any recent trauma."
Red Flags,Have you experienced any significant weight loss recently?,"Yes, I have been intentionally losing weight and may have overdone it, contributing to my low back pain.","No, I have not experienced any significant weight loss recently."
Referral,Have you been referred to any other healthcare providers for your low back pain?,"Yes, I have been referred to a pain management specialist for my low back pain.","Yes, I have been referred to a physical therapist for my low back pain."
Sleep,Have you noticed any changes in your sleep patterns or comfort level while sleeping?,"Yes, I have noticed that I am sleeping for shorter periods of time due to my low back pain.","Yes, I have noticed that I am having difficulty falling asleep due to my low back pain."
Sleep,Have you had any changes in your sleeping habits due to the pain?,I wake up frequently during the night because of my pain,"Yes, I can't sleep on my back anymore."
Yellow Flags,Are you feeling stressed or anxious?,"Yes, the pain is causing me to feel anxious about my ability to manage my daily activities.","Not really, I'm feeling calm."
Yellow Flags,Have you experienced any significant changes or events in your life recently?,"Yes, I recently started a new exercise routine","No, I haven't experienced any significant changes or events in my life recently that I can think of."
Yellow Flags,Are you feeling frustrated or discouraged about your low back pain?,"Yes, I'm discouraged that the pain has not improved despite trying various treatments.","No, I am not feeling frustrated or discouraged about my low back pain."
Yellow Flags,Have you experienced any changes in your work or daily activities because of your low back pain?,"Yes, I have had to take time off work or reduce my hours due to the pain.","""No, I have not had to make any changes to my work or daily activities because of my low back pain."""
Yellow Flags,Are you feeling isolated or disconnected from others because of your low back pain?,"Yes, I feel isolated and disconnected from others because of my low back pain.","I'm not sure, it depends on the situation."
Yellow Flags,Do you feel that your low back pain is affecting your quality of life?,"Yes, the pain is affecting my ability to engage in physical activities that I enjoy.","No, my low back pain is not affecting my quality of life."
location,Where exactly do you feel the pain in your low back?,"I have had low back pain in the past, but it has been a long time since my last episode.","The pain is difficult to describe, but it is definitely located in my lower back. 1. In the lower left side of my back"
location,"Does the pain radiate to other parts of your body, such as your hips, bum or legs or arms?","Yes, the pain radiates to my hips.",The pain travels down the front of my legs and into my shins.
location,Where exactly do you feel the pain?,The pain is in the muscles of my lower back and feels like a spasm or cramp.,"The pain is mostly in my hips and pelvis, but I also feel some discomfort in my lower back."
Mechanism of Injury,When did your low back pain start?,I woke up with the pain one morning and it has persisted since then.,"I don't know exactly when the pain started, but it has been getting worse over time."
Mechanism of Injury,How did the pain start?,It began gradually over time.,The pain started for no apparent reason and there was no specific event or trigger that caused it.
Mechanism of Injury,Have you had any recent injuries or accidents?,"I did not have an injury or accident, but I did start feeling pain after sleeping on an uncomfortable mattress or pillow.","No, I have not had any recent injuries or accidents that I am aware of."
Mechanism of Injury,How did your low back pain start?,I woke up one morning and the pain was already there.,I was involved in a physical activity that I don't usually do and felt the pain afterwards.
Mechanism of Injury,Did the pain start suddenly or gradually?,Gradually,It was gradual.
Mechanism of Injury,Was there a specific incident or event that caused the pain to start?,No,"No, the pain started gradually over time without any specific incident."
Mechanism of Injury,Have you experienced any similar episodes of low back pain in the past?,"No, the pain started gradually over time without any specific incident.","No, this is the first time I have experienced low back pain."
Mechanism of Injury,Were you performing any physical activities or movements when the pain started?,"Yes, I was lifting weights.","No, I wasn't performing any physical activities or movements when the pain started."
Mechanism of Injury,Have you experienced any changes in your daily activities or routine that may have contributed to the onset of your low back pain?,"Yes, I have been doing more physical work than usual which may have contributed to my low back pain.","No, there have been no changes in my daily activities or routine that may have caused my low back pain."
Mechanism of Injury,How did you first start experiencing low back pain?,The low back pain started as a dull ache and gradually got worse over time.,"No, I have not experienced sudden or sharp pain in my low back."
Mechanism of Injury,Did you have an injury or incident that you associate with the onset of your pain?,No,"No, I have not noticed any changes in my posture or the way I move that may have contributed to my low back pain."
Mechanism of Injury,Have you lifted any heavy objects or performed any strenuous physical activities before the onset of your pain?,"yes, I lifted weights.","No, I did not lift any heavy objects or engage in any strenuous physical activities before the onset of my low back pain."
Mechanism of Injury,"Have you had any slips, falls, or other traumatic events that may have caused your low back pain?",no,"No, I have not had any slips, falls, or other traumatic events that may have caused my low back pain."
Mechanism of Injury,Have you experienced any sudden or sharp pain in your low back?,"Yes, I experience sudden, shooting pain in my low back that radiates down my leg or buttock.","No, I have not experienced sudden or sharp pain in my low back."
Mechanism of Injury,Have you noticed any changes in your posture or the way you move that may have contributed to your low back pain?,"Yes, I have been working in a job that requires a lot of heavy lifting, bending, or twisting, which may have contributed to my low back pain.","No, I have not noticed any changes in my posture or the way I move that may have contributed to my low back pain."
Medical Condition,Have you been diagnosed with any specific condition that could be causing your low back pain?,"Yes, my doctor said that I have a pinched nerve in my lower back.
","No, I haven't been diagnosed with any specific condition that could be causing my low back pain."
Medications,Do you have any medical conditions or take any medications that could be contributing to your low back pain?,"I have a pinched nerve in my back, which is causing my pain."," No, I do not have any medical conditions or take any medications that could be contributing to my low back pain."
Medications,Have you tried any over-the-counter pain medications or other remedies for your low back pain?,"I take a medication for my sleep disorder, which can sometimes cause muscle pain and stiffness in my back.","""No, I have not tried any over-the-counter remedies for my low back pain."""
Medications,Are you currently taking any medications or receiving any other treatments for your low back pain?,"I take a medication for my sleep disorder, which can sometimes cause muscle pain and stiffness in my back.","""No, I am not undergoing physical therapy for my low back pain."""
Occupation,What is your occupation and do you perform any physically demanding tasks at work?,"I work in a factory and perform physically demanding tasks like operating heavy machinery, lifting heavy objects, and standing for long periods of time.",I work in an office and spend most of my day sitting at a desk in front of a computer.
